post_type_id	post_id	parent_id	user_id
1	20607149		1862131
1	20520438		2010877
1	20380939		2452442
1	20325361		3056836
1	20208294		1842959
1	20173387		3000042
1	6528800		796837
1	19970765		2401002
1	19838108		2965107
1	19698203		2861244
1	4920845		606346
1	19375994		1089623
1	18458441		2484538
1	19328816		1730622
1	19133387		2837935
1	18939683		2567639
1	18923093		209860
1	18724281		2276736
1	18645055		2872127
1	18617680		2747418
1	18481222		930026
1	5350749		665871
1	4791741		408482
1	18110175		2660409
1	17936012		575872
1	17769605		2422551
1	17754323		2600831
1	17732615		1270812
1	17663204		707852
1	8529671		457478
1	17392040		2536725
1	17301906		1195835
1	4300249		523348
1	17254863		2450243
1	17199887		2502691
1	17182759		2143896
1	17043817		736348
1	17001427		1413432
1	16759314		1311393
1	16632654		128761
1	16544309		2125211
1	16533012		853613
1	16341195		2031505
1	16298353		1171480
1	16277669		1008798
1	16256354		2126391
1	16187381		1921333
1	16067971		1545622
1	3797781		457827
1	16155348		user2286494
1	16099092		511488
1	15874725		1511423
1	15864964		1795473
1	15747108		1860344
1	15392611		2037186
1	15174903		2126709
1	14642361		1897389
1	14499358		2001057
1	14209362		1714741
1	14062567		583916
1	13771947		1454083
1	13767416		259786
1	13766898		1454083
1	13754314		191140
1	8583244		820750
1	13382437		183806
1	13353815		1817969
1	13218524		1478255
1	13082346		1776351
1	12651254		768392
1	12595115		1495124
1	12531949		1632903
1	12400960		569403
1	11925086		1232366
1	11885654		2110294
1	11868245		1232366
1	11786580		468312
1	11786332		1294886
1	11679254		376947
1	11499069		1481563
1	11463449		1346673
1	11032136		1045160
1	1854578		10755
1	10693532		943340
1	10539769		1387831
1	10475449		1302527
1	10467411		277304
1	10270944		1008869
1	10059398		user1170392
1	10000272		1143736
1	9993168		505999
1	9964315		1298102
1	9910144		921295
1	9289524		1159454
1	9145902		376947
1	9087419		596952
1	8754610		230673
1	8465632		548278
1	8420298		284932
1	8365653		817365
1	8245473		376947
1	8168475		284932
1	8112279		998138
1	8087695		1038814
1	7975561		1301769
1	5403428		672485
1	7806451		user1000952
1	3335585		293585
1	7425378		905083
1	7380660		939488
1	4330402		378622
1	7096916		867674
1	6643511		837917
1	6552094		468312
1	6516683		814664
1	6299732		791187
1	6145507		769985
1	5899160		733358
1	5796837		302926
1	5617760		569403
1	5617331		569403
1	5601906		552085
1	5381870		561731
1	5274541		655542
1	4459365		1173600
1	3799471		350230
1	3798724		383609
1	3533100		286090
1	3505999		307007
1	3478438		229678
1	3387450		404039
1	3350638		280329
1	2652086		288234
1	2420025		55321
1	1901973		229705
1	1847356		120448
1	1754790		83916
1	1585301		184610
1	1250514		89771
2	57953903	32420848	5631647
2	44675030	7490488	7156607
2	57862266	57862243	6275103
2	57824969	3654295	1727232
2	57532978	5397726	6550012
2	57365811	6228581	11886417
2	3654309	3654295	106224
2	57152232	57151906	5159168
2	56959837	56959742	6487675
2	22644314	4626732	2182710
2	4626797	4626732	565956
2	4626749	4626732	565339
2	4626740	4626732	397816
2	56691441	56689608	5424988
2	56691189	56689608	4914999
2	56689946	56689608	6556397
2	56609117	3784306	8221084
2	56592837	56592786	11123254
2	56592895	56592786	764312
2	56509019	56508564	8919282
2	56508586	56508564	2920378
2	56508820	56508564	1213708
2	56508818	56508564	5260982
2	56508626	56508564	11337114
2	56459614	56454426	3910308
2	56461660	56454426	6556397
2	56179642	4120589	10493775
2	55927233	55926319	1491895
2	55678061	55677890	1839439
2	9486083	3654295	729324
2	17193698	17193597	511529
2	54987987	54987811	6487675
2	54850712	54850622	9284419
2	54851726	54850622	1919360
2	54851437	54850622	9284419
2	54850945	54850622	9284419
2	54770664	54769915	1172798
2	54531592	54531191	4804629
2	54531399	54531191	6498658
2	54486895	54472234	1491895
2	54199380	54199330	5424988
2	53866028	53865108	6224176
2	53865915	53865108	6482022
2	53865784	53865108	3392762
2	53669091	53668933	4709325
2	53669038	53668933	4934937
2	53625375	53624661	1255289
2	53625372	53624661	4493253
2	53514029	53513804	458214
2	53513925	53513804	3031021
2	53513914	53513804	1925943
2	53513900	53513804	6175210
2	53454118	53453789	3392762
2	53454066	53453789	9473764
2	53451850	53450937	6224176
2	53451043	53450937	4680018
2	53358764	53357628	1657819
2	53301493	53301418	5104748
2	53301575	53301418	10488923
2	52855684	44092218	3419535
2	52688241	52688200	3041435
2	52688221	52688200	2469308
2	52688252	52688200	5104748
2	52688243	52688200	7057048
2	19157164	7490488	842050
