post_type_id	tags	reputation	user_id	user_type	accept_rate	profile_image	display_name	link	is_answered	view_count	accepted_answer_id	answer_count	score	last_activity_date	creation_date	last_edited_date	post_id	parent_id	link	title
1	"['php', 'arrays', 'string']"	249	10047927	registered	N/A	https://www.gravatar.com/avatar/236a43461745ea6db10f7758fe0f8206?s=128&d=identicon&r=PG&f=1	TheDev	https://stackoverflow.com/users/10047927/thedev	TRUE	22	54987987	1	-1	1551718586	1551718017	N/A	54987811	N/A	https://stackoverflow.com/questions/54987811/how-can-i-slice-a-string-and-append-into-a-array	how can I slice a string and append into a array
1	"['php', 'arrays', 'string']"	6	9398461	registered	N/A	https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=128	Beray Sezgin	https://stackoverflow.com/users/9398461/beray-sezgin	FALSE	74	N/A	4	1	1551271617	1551001536	N/A	54850622	N/A	https://stackoverflow.com/questions/54850622/array-value-to-string-in-php	Array value to string in PHP
1	"['php', 'arrays', 'string']"	10	10749565	registered	N/A	https://lh5.googleusercontent.com/-xz0jZvwLd64/AAAAAAAAAAI/AAAAAAAAAAA/AGDgw-iHjNyWN47oiO41IDFtD4hfgefyag/mo/photo.jpg?sz=128	nitin	https://stackoverflow.com/users/10749565/nitin	TRUE	29	54770664	1	0	1550601863	1550590605	N/A	54769915	N/A	https://stackoverflow.com/questions/54769915/how-to-split-string-according-to-array-in-php	how to split string according to array in php
1	"['php', 'arrays', 'string']"	131	4097626	registered	83	https://www.gravatar.com/avatar/5aad429785f57bf9c93e2a5ebc92f34f?s=128&d=identicon&r=PG&f=1	Irfana	https://stackoverflow.com/users/4097626/irfana	TRUE	106	31294262	6	2	1550457374	1436362115	N/A	31294198	N/A	https://stackoverflow.com/questions/31294198/how-to-convert-a-string-of-numbers-into-an-array	How to convert a string of numbers into an array?
1	"['php', 'arrays', 'string']"	11	10990694	registered	N/A	https://lh6.googleusercontent.com/-vMfaPF38S3g/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQNiYG5oSpQURmBbW_mjAr9aIBZvyw/mo/photo.jpg?sz=128	Tangaki	https://stackoverflow.com/users/10990694/tangaki	TRUE	54	N/A	2	2	1549361310	1549358888	N/A	54531191	N/A	https://stackoverflow.com/questions/54531191/edit-lines-in-a-file-by-looking-for-a-specific-string	Edit lines in a file by looking for a specific string?
1	"['php', 'arrays', 'string']"	3	3560705	registered	N/A	https://www.gravatar.com/avatar/4a50c8e77371063beb29fc24bc091ac5?s=128&d=identicon&r=PG&f=1	micros	https://stackoverflow.com/users/3560705/micros	TRUE	65	54486895	1	-2	1549086771	1548989772	N/A	54472234	N/A	https://stackoverflow.com/questions/54472234/php-string-expansion	PHP string expansion
1	"['php', 'arrays', 'string']"	12	2942439	registered	N/A	https://graph.facebook.com/100005541605697/picture?type=large	Rodrigo Ayala	https://stackoverflow.com/users/2942439/rodrigo-ayala	FALSE	280	N/A	3	-1	1549071510	1504878398	N/A	46118002	N/A	https://stackoverflow.com/questions/46118002/array-to-string-conversion-in-php7	Array to string conversion in PHP7?
1	"['php', 'arrays', 'string']"	4	10916956	registered	N/A	https://www.gravatar.com/avatar/23b0ac85adbf527fa91464ef9581fa4e?s=128&d=identicon&r=PG&f=1	phpkebab	https://stackoverflow.com/users/10916956/phpkebab	TRUE	91	54199380	1	-3	1547557316	1547557013	N/A	54199330	N/A	https://stackoverflow.com/questions/54199330/string-into-array-php	String Into Array PHP
1	"['php', 'arrays', 'string']"	164	6532208	registered	92	https://www.gravatar.com/avatar/67dce80b94edab6f95c1456ac0c5d79f?s=128&d=identicon&r=PG&f=1	Mohanish	https://stackoverflow.com/users/6532208/mohanish	TRUE	59	53865915	3	-1	1545299101	1545295371	N/A	53865108	N/A	https://stackoverflow.com/questions/53865108/sort-plain-text-data-in-php	Sort plain text data in php
1	"['php', 'arrays', 'string']"	68	10449848	registered	N/A	https://www.gravatar.com/avatar/a8fa2ffad7121ed5a62bbfe9e8a0e62f?s=128&d=identicon&r=PG&f=1	Real Noob	https://stackoverflow.com/users/10449848/real-noob	TRUE	68	53669091	2	0	1544183793	1544183180	N/A	53668933	N/A	https://stackoverflow.com/questions/53668933/turn-an-array-format-string-into-actual-array-in-php	Turn an array format string into actual Array in PHP
