"X3653989"	"X4633951"
"X4556692"	"X4639383"
"X2334352"	"X4111907"
"X1475548"	"X4111907"
"X4539315"	"X4111907"
"X539153"	"X310429"
"X385273"	"X310429"
"X385273"	"X1817969"
"X385273"	"X378622"
"X1293344"	"X310429"
"X1153551"	"X2746365"
"X1153551"	"X2850618"
"X117259"	"X840461"
"X117259"	"X3334483"
"X3444240"	"X840461"
"X1003917"	"X905513"
"X1003917"	"X2850618"
"X1003917"	"X2763680"
"X1003917"	"X2484538"
"X2799319"	"X905513"
"X1375025"	"X1254256"
"X1350209"	"X1254256"
"X169442"	"X310429"
"X235708"	"X310429"
"X1188035"	"X3783161"
"X1188035"	"X3129635"
"X1967599"	"X677756"
"X1437955"	"X3334483"
"X1943011"	"X2850618"
"X2007044"	"X2763680"
"X1369601"	"X2763680"
"X733876"	"X993106"
"X3065983"	"X993106"
"user557846"	"X993106"
"user557846"	"X128761"
"user557846"	"X939488"
"X1683134"	"X1907444"
"X1288418"	"X1907444"
"X2164943"	"X1907444"
"X1032750"	"X1907444"
"user2680766"	"X3129635"
"X2627459"	"X2484538"
"X1230836"	"X2484538"
"X2670583"	"X665871"
"X2670583"	"X408482"
"X1007220"	"X2600831"
"X938236"	"X707852"
"X596602"	"X606346"
"X819324"	"X796837"
"X251311"	"X796837"
"X251311"	"X596952"
"X722513"	"X677756"
"X658127"	"X665871"
"X50079"	"X665871"
"X50079"	"X1795473"
"X50079"	"X468312"
"X50079"	"X939488"
"X430062"	"X665871"
"X279966"	"X665871"
"X402253"	"X408482"
"X971392"	"X736348"
"X1226894"	"X736348"
"X1226894"	"X1817969"
"X1712686"	"X736348"
"X2125720"	"X736348"
"X1071311"	"X736348"
"X669073"	"X736348"
"X871050"	"X128761"
"X1450248"	"X128761"
"X1468708"	"X128761"
"X1679187"	"X511488"
"X307310"	"X1795473"
"X1634524"	"X569403"
"X33522"	"X569403"
"X679236"	"X468312"
"X513686"	"X468312"
"X1369091"	"X277304"
"X916000"	"X277304"
"X285587"	"X1298102"
"X546999"	"X596952"
"X576875"	"X939488"
"X281469"	"X468312"
"X299375"	"X468312"
"X218196"	"X468312"
"X189262"	"X468312"
"X327862"	"X569403"
"X543296"	"X569403"
"X701243"	"X569403"
"X533611"	"X569403"
"X521068"	"X1173600"
"X280598"	"X1173600"
"X381345"	"X378622"
"X381345"	"X307007"
"X459582"	"X457827"
"X153350"	"X383609"
"X153350"	"X184610"
"X453614"	"X383609"
"X41596"	"X383609"
"X4668"	"X383609"
"X173934"	"X457827"
"X423170"	"X307007"
"X352636"	"X307007"
"X29995"	"X307007"
"X319618"	"X307007"
"X323839"	"X307007"
"X18393"	"X184610"
